peclet,sherwood,our peclet,our sherwood
463.6,9.9,231.8,4.95
1007,11.7,503.5,5.85
1132.4,12.9,566.2,6.45
1744.2,14.6,872.1,7.3
2101.4,15.2,1050.7,7.6
2698,16.4,1349,8.2
3249,18.4,1624.5,9.2
3541.6,18.2,1770.8,9.1
4864,20.3,2432,10.15
5586,22,2793,11
7296,24,3648,12
9006,25.8,4503,12.9
10070,27.5,5035,13.75
