peclet,sherwood,our peclet,our sherwood
0.10882854694946,1.9656305698097,0.0544142734747299,0.982815284904852
0.139830607836624,1.95394416370798,0.0699153039183121,0.976972081853992
0.181684316393928,1.94933817198892,0.0908421581969639,0.974669085994457
0.272626239906056,1.96732401841915,0.136313119953028,0.983662009209576
0.357779588674211,1.99147996053524,0.178889794337106,0.99573998026762
0.471866601014238,2.01588882985338,0.235933300507119,1.00794441492669
0.62080306440608,2.05307673302019,0.31040153220304,1.02653836651009
0.85301864556908,2.10075819541861,0.42650932278454,1.0503790977093
1.2333399242863,2.18334813872023,0.616669962143148,1.09167406936012
1.57900531819786,2.25936199390689,0.789502659098928,1.12968099695344
2.280308539731,2.388560384091,1.1401542698655,1.1942801920455
3.01148246224153,2.49253241074914,1.50574123112077,1.24626620537457
4.24775308842898,2.65142393442508,2.12387654421449,1.32571196721254
5.92503925786124,2.82745697058928,2.96251962893062,1.41372848529464
7.93278592561465,2.99012878130335,3.96639296280732,1.49506439065168
12.7168424535322,3.32137149634981,6.35842122676611,1.66068574817491
20.5134235288327,3.71625209688879,10.2567117644164,1.85812604844439
30.9061249964592,4.1290518565909,15.4530624982296,2.06452592829545
46.6778894621153,4.53215006352889,23.3389447310577,2.26607503176444
66.6703124573387,5.00009990678107,33.3351562286693,2.50004995339053
92.7719238455435,5.44361378171513,46.3859619227718,2.72180689085756
125.455826159166,5.86976630303319,62.7279130795828,2.93488315151659
167.770121974926,6.3295886402981,83.8850609874632,3.16479432014905
240.524757176396,7.01709633674993,120.262378588198,3.50854816837496
311.055155461192,7.59559114682515,155.527577730596,3.79779557341258
425.387864133127,8.32044192641803,212.693932066564,4.16022096320901
561.869333578818,9.07157008650569,280.934666789409,4.53578504325284
725.713470762749,9.75990729208302,362.856735381374,4.87995364604151
890.83727307357,10.5028064896309,445.418636536785,5.25140324481546
1074.64545064927,11.1392035507372,537.322725324635,5.5696017753686
1386.29646845484,11.9844946081147,693.14823422742,5.99224730405737
1799.52390868411,13.035611751048,899.761954342054,6.51780587552398
2184.31683082382,13.791488070336,1092.15841541191,6.895744035168
2644.78555917787,14.5381647817083,1322.39277958894,7.26908239085413
3166.79611713737,15.3820837641346,1583.39805856869,7.69104188206728
4085.26127064943,16.6503749197037,2042.63063532472,8.32518745985187
4946.56238041228,17.6589849613718,2473.28119020614,8.8294924806859
6240.02562901296,18.908585934476,3120.01281450648,9.454292967238
7602.79993237326,20.1758700101078,3801.39996618663,10.0879350050539
9171.4258372324,21.346355756005,4585.7129186162,10.6731778780025
