peclet,sherwood,our peclet,our sherwood
3202.23305148686,14.6177913579199,1601.11652574343,7.30889567895997
4813.567888434,17.0274102475887,2406.783944217,8.51370512379435
7506.0679469983,19.8893363568693,3753.03397349915,9.94466817843463
10248.7156408929,22.2235972798523,5124.35782044644,11.1117986399261
12826.04859421,24.625999689731,6413.02429710499,12.3129998448655
15125.699967595,25.8869687489566,7562.8499837975,12.9434843744783
18759.6737246834,27.59261030985,9379.83686234169,13.796305154925
20941.0682849753,28.1336933223651,10470.5341424876,14.0668466611825
23914.267827824,29.9042892925312,11957.133913912,14.9521446462656
28201.0058190463,31.6982561170192,14100.5029095231,15.8491280585096
32204.2206266211,33.8806559385423,16102.1103133106,16.9403279692712
36443.2556549938,35.4184406044775,18221.6278274969,17.7092203022387
