peclet,sherwood
231.8,4.95
503.5,5.85
566.2,6.45
872.1,7.3
1050.7,7.6
1349.,8.2
1624.5,9.2
1770.8,9.1
2432.0,10.15
2793.0,11
3648.0,12
4503.0,12.9
5035.0,13.75
