2.000000000000000000e+00,5.493051130575260288e+01
2.684210526315789380e+00,5.493268225452766274e+01
3.368421052631578760e+00,5.492925082465016828e+01
4.052631578947368141e+00,5.492976957095464741e+01
4.736842105263157521e+00,5.493498094040349855e+01
5.421052631578946901e+00,5.493767030525241069e+01
6.105263157894737169e+00,5.493529442374782690e+01
6.789473684210526550e+00,5.493185923047251151e+01
7.473684210526315930e+00,5.493462899953618717e+01
8.157894736842106198e+00,5.492886985641581532e+01
8.842105263157893802e+00,5.492857322790234065e+01
9.526315789473684958e+00,5.494150412174128206e+01
1.021052631578947434e+01,5.494527537287494567e+01
1.089473684210526372e+01,5.493595244946060063e+01
1.157894736842105310e+01,5.494872754397182746e+01
1.226315789473684248e+01,5.494979048675181588e+01
1.294736842105263186e+01,5.493183032495642237e+01
1.363157894736842124e+01,5.494606756069812548e+01
1.431578947368421062e+01,5.488710424712188285e+01
1.500000000000000000e+01,5.492417248645070771e+01
