"particle radius [m]","sinking speed [m/s]"
0.01284795,0.0018313541666666667
0.01273855,0.0018438888888888888
0.0126292334171852,0.010570058009817036
0.00968905,0.001274085648148148
0.009617200000000001,0.0013002083333333331
0.00901915,0.0011835300925925926
0.00885215,0.002271273148148148
0.008787000000000001,0.0017161805555555554
0.00875235,0.002312048611111111
0.00873175,0.0011944675925925925
0.00866345,0.0017246643518518518
0.0085,0.0010995370370370369
0.0084581,0.0018740393518518518
0.008400600000000001,0.0018408449074074074
0.0075515953925592,0.010821062025881295
0.00742485,0.0010323240740740742
0.00740785,0.0010054618055555554
0.0073251158480074,0.009315037929495751
0.00723225,0.0011013090277777777
0.0072216500000000005,0.0011046238425925924
0.00683815,0.0007184166666666666
0.00679589567059445,0.009928603302097267
0.0067056074766355,0.007410950491307626
0.0066884,0.0007001493055555555
0.00649055,0.0019446759259259259
0.0064485981308411,0.004404468461635694
0.006437750000000001,0.0014812152777777777
0.0064151,0.001977523148148148
0.0064042000000000005,0.0005710960648148148
0.006383949999999999,0.0005763981481481481
0.00637015,0.002130474537037037
0.0063300000000000006,0.0014979629629629629
0.0062944,0.0021233217592592593
0.00615,0.001993126255787037
0.0059579439252336,0.00532288901529515
0.0055,0.0004976851851851852
0.005397196261682199,0.005382141954240926
0.00515,0.0007602601907407407
0.00514018691588785,0.006968065003779282
0.0048598130841121445,0.008030990173847313
0.0047897196261682245,0.006389441916319039
0.0046,0.006583061356481481
0.00455,0.0006896990440972222
0.00453412,0.000626986111111111
0.004485981308411215,0.0072042705971277305
0.00435,0.0005381814746527778
0.00412620150933403,0.00970548862115126
0.004086465,0.0007552372685185185
0.004029445253541635,0.008952476572958496
0.0039,0.002776569304398148
0.00385528,0.0005605405092592592
0.00383738,0.0005597951388888889
0.0037981993909704703,0.009119812583667997
0.0037571598315000003,0.006914351851851851
0.0037300000000000002,0.006921296296296296
0.0037011550000000002,0.00037712731481481473
0.0037,0.0025060188090277775
0.0037,0.002351605810185185
0.00365,0.00027763887743055554
0.003625603398,0.006623379629629629
0.003615,0.006585648148148148
0.003615,0.004780092592592593
0.0035846896660000002,0.004593055555555555
0.0035600000000000002,0.004780092592592593
0.0035499999999999998,0.00014507090069444445
0.00354964787,0.004622453703703703
0.0035053885873162953,0.007753235162873703
0.0035,0.0018272029884259257
0.0035,0.0001979500546296296
0.0034500000000000004,0.00035189295046296297
0.00340417,0.0005856550925925926
0.003355,0.0036574074074074074
0.00335,0.0006786462408564814
0.00334525,0.0006548900462962963
0.0033,0.0010570722972222221
0.0033,0.00020076771736111108
0.00327,0.004050925925925926
0.0032611249999999997,0.0014222569444444443
0.0032300000000000002,0.003634259259259259
0.00320336290215808,0.009621820615796516
0.0032,0.0007193409237268518
0.003195,0.006585648148148148
0.0031416556145,0.004901851851851852
0.0031200000000000004,0.005405092592592592
0.003118493226,0.006788773148148147
0.003098386677,0.0039030092592592593
0.003095,0.005023148148148148
0.003095,0.003923611111111111
0.003077214351913145,0.007613788487282453
0.00307332185886402,0.008980365908076748
0.0030577769705,0.005712037037037036
0.0030550000000000004,0.003344907407407407
0.003047901496094265,0.006330879071842916
0.003005,0.005972222222222222
0.0029900000000000005,0.0044907407407407405
0.0029816496756255753,0.0064424364123159255
0.002975,0.005208333333333333
0.0029746,0.0006437731481481481
0.0029700000000000004,0.003356481481481481
0.0029649999999999998,0.0046875
0.0029584624385,0.0062701388888888885
0.0029500000000000004,0.0005033379629629629
0.002915,0.0037037037037037034
0.0029,0.00042388880057870373
0.002895,0.0044444444444444444
0.00286,0.004317129629629629
