1.666666666666666574e-01,5.298710306761910971e+01
2.631578947368420907e-01,5.540854090808300469e+01
3.596491228070175517e-01,5.509160983904369857e+01
4.561403508771929571e-01,5.499365298199185759e+01
5.526315789473683626e-01,5.495572899251245502e+01
6.491228070175437681e-01,5.495418431513161295e+01
7.456140350877192846e-01,5.494207407499391138e+01
8.421052631578946901e-01,5.493433560490002776e+01
9.385964912280700956e-01,5.495307827402030654e+01
1.035087719298245501e+00,5.494421160718129471e+01
1.131578947368421018e+00,5.493199975177603989e+01
1.228070175438596534e+00,5.493332306627959838e+01
1.324561403508772051e+00,5.492956204627677863e+01
1.421052631578947345e+00,5.493189028933513640e+01
1.517543859649122862e+00,5.492865598281126438e+01
1.614035087719298156e+00,5.492861377403368550e+01
1.710526315789473673e+00,5.492941874517429568e+01
1.807017543859649189e+00,5.492888724855440330e+01
1.903508771929824483e+00,5.492636678454983468e+01
2.000000000000000000e+00,5.492680325417881448e+01
