0.1,0.8,1.0313292845913056
0.13,0.8,1.0400411491276453
0.17,0.8,1.0512368857248666
0.22000000000000003,0.8,1.064621617328617
0.27999999999999997,0.8,1.0798889997648997
0.36000000000000004,0.8,1.0990726414895093
0.45999999999999996,0.8,1.1214465011907717
0.6000000000000001,0.8,1.1502957234256934
0.77,0.8,1.1822044948812933
1.,0.8,1.2668732376080498
1.3,0.8,1.3211120538014733
1.7,0.8,1.3852430981650117
2.2,0.8,1.4564767551369158
2.8,0.8,1.5327153807248817
3.6,0.8,1.6233035435799448
4.6,0.8,1.724038807382925
6.,0.8,1.8549522088234034
7.7,0.8,1.9901586758183831
10.,0.8,2.1525880663638004
13.,0.8,2.3405363194442823
17.,0.8,2.5630757459964943
22.,0.8,2.8112232795444796
28.,0.8,3.079387931949864
36.,0.8,3.402949816812143
46.,0.8,3.7702814947099017
60.,0.8,4.238154439387866
77.,0.8,4.757570099810135
100.,0.8,5.403917164663108
130.,0.8,6.182397585912618
170.,0.8,7.14586983767873
220.,0.8,8.27172870889297
280.,0.8,9.546511521764241
360.,0.8,11.159969855591438
460.,0.8,13.083957092511481
600.,0.8,15.66327205773009
770.,0.8,18.677133418965457
1000.,0.8,22.620038513889533
1300.,0.8,27.611008530655788
1700.,0.8,34.09279227890434
2200.,0.8,42.01514561663147
2800.,0.8,51.348867279017206
3600.,0.8,63.59924634370693
4600.,0.8,78.70287939249995
6000.,0.8,99.58694935536968
7700.,0.8,124.66697857314892
10000.,0.8,158.2616659436221
13000.,0.8,201.66640853969685
17000.,0.8,259.0155600870268
22000.,0.8,330.07005718266765
28000.,0.8,414.4066107989066
36000.,0.8,524.7747666202579
46000.,0.8,658.7168079693969
60000.,0.8,874.6451431355566
77000.,0.8,1116.492224734151
100000.,0.8,1444.2098495024597
130000.,0.8,1872.9491502886783
170000.,0.8,2446.463021982229
220000.,0.8,3164.984428217524
280000.,0.8,4028.009078304073
360000.,0.8,5179.116415228214
460000.,0.8,6618.9709033156205
600000.,0.8,8635.529124659655
770000.,0.8,11076.858953449779
1.e6,0.8,14038.557489569792
1.3e6,0.8,18235.936216729428
1.7e6,0.8,23832.244461960607
2.2e6,0.8,30829.080732356193
2.8e6,0.8,39222.960891012546
3.6e6,0.8,50410.82689375733
4.6e6,0.8,64398.72795776215
6.e6,0.8,83975.47265398133
7.7e6,0.8,107746.42800464777
1.e7,0.8,139910.86671078473
1.3e7,0.8,181865.62026485713
1.7e7,0.8,237799.02869349634
2.2e7,0.8,307718.5624058566
2.8e7,0.8,391616.5800869871
3.6e7,0.8,503487.002627586
4.6e7,0.8,643303.4489169171
6.e7,0.8,839073.3295594978
7.7e7,0.8,1.0767765919036397e6
1.e8,0.8,1.398383889786802e6
1.3e8,0.8,1.8178712014119453e6
1.7e8,0.8,2.37715459886853e6
2.2e8,0.8,3.0762459790263167e6
2.8e8,0.8,3.915226683180825e6
3.6e8,0.8,5.033802759600256e6
4.6e8,0.8,6.432054901563439e6
6.e8,0.8,8.38960236662965e6
7.7e8,0.8,1.0766574239847455e7
1.e9,0.8,1.3982463900579156e7
1.3e9,0.8,1.8177464656375293e7
1.7e9,0.8,2.3770357400785584e7
2.2e9,0.8,3.076154782428996e7
2.8e9,0.8,3.915086120276653e7
3.6e9,0.8,5.033716288405282e7
4.6e9,0.8,6.4320590117094494e7
6.e9,0.8,8.389699998662616e7
7.7e9,0.8,1.0766867772192587e8
1.e10,0.8,1.3983010530032963e8
1.3e10,0.8,1.8178043641467938e8
1.7e10,0.8,2.377131931391383e8
2.2e10,0.8,3.076289489278044e8
2.8e10,0.8,3.915300269108177e8
3.6e10,0.8,5.0339381222281057e8
4.6e10,0.8,6.432245888622745e8
6.e10,0.8,8.389913242111905e8
7.7e10,0.8,1.076706969062924e9
1.e11,0.8,1.398322429075125e9
1.3e11,0.8,1.817818525502685e9
1.7e11,0.8,2.37714307547684e9
2.2e11,0.8,3.0763090209481087e9
2.8e11,0.8,3.9153021916057606e9
3.6e11,0.8,5.034029629770746e9
4.6e11,0.8,6.432995575715079e9
6.e11,0.8,8.3919957683553e9
7.7e11,0.8,1.0770932208198816e10
0.1,0.9,1.0313292845913056
0.13,0.9,1.0400411491276453
0.17,0.9,1.0512368857248666
0.22000000000000003,0.9,1.064621617328617
0.27999999999999997,0.9,1.0798889997648997
0.36000000000000004,0.9,1.0990726414895093
0.45999999999999996,0.9,1.1214465011907717
0.6000000000000001,0.9,1.1502957234256934
0.77,0.9,1.1822044948812933
1.,0.9,1.252075617489846
1.3,0.9,1.301381694062726
1.7,0.9,1.358908964057325
2.2,0.9,1.422000236213412
2.8,0.9,1.4886580766884614
3.6,0.9,1.5667673940735165
4.6,0.9,1.6523096493486518
6.,0.9,1.7621544403633809
7.7,0.9,1.8728971147072653
10.,0.9,2.0032377264819456
13.,0.9,2.1506297887495136
17.,0.9,2.3207656371043512
22.,0.9,2.505347398299936
28.,0.9,2.699278958822018
36.,0.9,2.9263472174290377
46.,0.9,3.175900749892301
60.,0.9,3.4825649436694195
77.,0.9,3.8101912747353355
100.,0.9,4.201705649555144
130.,0.9,4.653104139743165
170.,0.9,5.186469623128346
220.,0.9,5.7807680945369535
280.,0.9,6.423223194991837
360.,0.9,7.199330133443731
460.,0.9,8.082148046883834
600.,0.9,9.20962963134662
770.,0.9,10.465415749232298
1000.,0.9,12.033892568105264
1300.,0.9,13.930882473163447
1700.,0.9,16.289163079947887
2200.,0.9,19.057470909799786
2800.,0.9,22.205522495981576
3600.,0.9,26.20662836306305
4600.,0.9,30.997076839601114
